,A140101_reg,A140102_reg,A140103_reg,A140104_reg
202203,1132.0448,12.5,891.5989,12.3
202202,539.1334,13.1,422.2003,11.5
202201,0.0,0.0,0.0,0.0
202112,6121.9312,25.2,4859.2989,30.8
202111,5644.0866,30.1,4491.6755,35.9
202110,5148.9354,34.0,4086.8591,39.4
202109,4631.1316,42.0,3673.5442,47.7
202108,4049.0761,55.6,3219.4472,62.2
202107,3431.0242,70.0,2721.0562,75.9
202106,2942.6652,83.4,2325.4231,89.8
202105,2090.2766,104.8,1651.583,111.8
202104,1528.5292,136.1,1201.9806,142.1
202103,1006.4344,291.3,793.6925,308.2
202102,476.6778,274.2,378.6157,274.9
202101,0.0,0.0,0.0,0.0
202012,4888.8684,-4.4,3715.432,-6.1
202011,4338.8736,-7.7,3305.9951,-8.7
202010,3843.4239,-11.8,2932.5254,-12.7
202009,3261.6175,-17.0,2487.0689,-17.6
202008,2602.6772,-24.2,1984.9646,-24.8
202007,2018.1998,-32.0,1547.2171,-31.7
202006,1604.5057,-38.3,1224.9979,-37.6
202005,1020.7733,-45.0,779.8301,-44.9
202004,647.4562,-54.8,496.4793,-54.2
202003,257.2178,-73.7,194.4139,-73.8
202002,127.3853,-69.8,100.9884,-68.6
202001,0.0,0.0,0.0,0.0
201912,5111.7254,8.9,3954.7223,14.1
201911,4699.571,9.2,3620.9474,14.7
201910,4356.8791,9.1,3360.0891,14.6
201909,3927.5544,8.8,3020.0634,14.9
201908,3432.7411,8.0,2637.9385,14.1
201907,2969.1658,7.7,2266.8015,13.4
201906,2599.7396,7.9,1963.9131,13.1
201905,1856.8976,8.3,1415.8528,12.6
201904,1432.0049,8.7,1084.4421,13.9
201903,978.3945,6.9,742.6789,13.7
201902,421.1239,6.8,321.9926,14.7
201901,0.0,0.0,0.0,0.0
201812,4693.1172,2.6,3464.5868,7.1
201811,4303.2918,1.7,3156.4338,5.4
201810,3991.9571,4.7,2933.0873,9.6
201809,3608.6945,4.7,2627.7936,8.6
201808,3177.427,6.8,2311.0674,10.9
201807,2757.3412,7.4,1999.5756,11.2
201806,2409.341,8.5,1736.9622,11.8
201805,1714.5683,10.8,1257.2576,15.7
201804,1317.0126,13.2,951.7536,16.5
201803,915.49,13.5,653.2537,18.7
201802,394.4007,7.4,280.7788,6.0
201801,0.0,0.0,0.0,0.0
201712,4574.8908,6.5,3235.421,7.4
201711,4231.6117,8.6,2994.5437,10.2
201710,3813.0093,8.4,2675.7356,8.2
201709,3448.335,8.6,2420.2718,8.1
201708,2975.0468,8.1,2083.6079,6.9
201707,2567.7338,8.8,1798.7162,7.7
201706,2220.1361,13.3,1553.7577,11.3
201705,1547.7321,14.1,1086.4167,12.1
201704,1162.9564,15.2,816.9208,11.7
201703,806.5253,15.5,550.551,6.9
201702,367.1153,13.1,264.8967,10.4
201701,0.0,0.0,0.0,0.0
201612,4296.3824,1.1,3012.3477,-0.3
201611,3895.935,2.1,2718.4733,0.7
201610,3517.0398,4.6,2472.7666,5.1
201609,3175.0018,7.6,2238.6232,8.6
201608,2752.0656,8.0,1949.3202,9.8
201607,2358.989,6.7,1669.441,8.2
201606,1959.7301,4.3,1396.4315,6.4
201605,1356.171,7.7,969.3008,9.2
201604,1009.3123,8.7,731.178,10.3
201603,698.1613,6.3,514.8539,8.9
201602,324.6281,2.7,239.9224,3.5
201601,0.0,0.0,0.0,0.0
201512,4249.2298,6.7,3020.5401,9.6
201511,3816.026,6.7,2699.7083,9.3
201510,3361.3657,6.3,2352.7122,7.5
201509,2950.4993,4.1,2061.9642,4.9
201508,2548.7745,4.2,1774.7769,4.1
201507,2210.9539,3.5,1542.8122,3.2
201506,1879.4739,2.3,1312.3034,1.9
201505,1259.7687,2.9,887.3895,1.8
201504,928.607,4.0,662.9715,4.7
201503,656.9538,5.7,472.5705,4.4
201502,316.0484,12.0,231.767,9.6
201501,0.0,0.0,0.0,0.0
201412,3983.79,21.2,2755.4186,22.4
201411,3576.7068,24.1,2468.9847,25.1
201410,3162.4321,23.3,2188.1211,24.9
201409,2833.5231,23.4,1964.863,25.1
201408,2446.851,22.7,1704.5262,25.4
201407,2135.2718,24.0,1494.458,27.4
201406,1836.8241,24.8,1288.3475,28.5
201405,1223.9607,23.6,871.6536,28.2
201404,893.1611,22.0,633.4733,27.2
201403,621.6618,21.1,452.4764,27.0
201402,282.1828,27.9,211.5584,35.4
201401,0.0,0.0,0.0,0.0
201312,3286.0234,29.4,2251.5586,32.6
