城市,编号
合肥,58321
安庆,58424
蚌埠,58221
亳州,58102
池州,58427
滁州,58236
阜阳,58203
淮北,58116
黄山,70931
淮南,58224
六安,58311
马鞍山,58336
宿州,58122
铜陵,58429
芜湖,58334
宣城,58433
福州,58847
钓鱼岛,71415
龙岩,58927
南平,58834
宁德,58846
莆田,58946
泉州,59131
三明,58828
厦门,59134
漳州,59126
兰州,52889
甘南,70248
陇南,60472
白银,52896
定西,52995
酒泉,52533
金昌,52675
嘉峪关,71129
临夏,52984
平凉,53915
庆阳,53923
天水,57006
武威,52679
张掖,52652
广州,59287
潮州,59312
东莞,59289
佛山,59288
河源,59293
惠州,59297
江门,59473
揭阳,59315
茂名,59659
梅州,59109
清远,59280
深圳,59493
汕尾,59501
汕头,59316
韶关,59082
阳江,59663
云浮,59471
湛江,59658
中山,71551
珠海,59488
肇庆,59278
南宁,59431
百色,59211
北海,59644
崇左,59425
防城港,59635
桂林,57957
贵港,59249
河池,59023
贺州,59065
来宾,59242
柳州,59046
钦州,59632
梧州,59265
玉林,59453
贵阳,57816
黔东南,57825
黔南,57827
安顺,57806
毕节,57707
六盘水,56693
黔西南,70148
铜仁,57741
遵义,57713
海口,59758
保亭,59945
白沙,59848
澄迈,59843
昌江,71946
东方,59838
儋州,59845
定安,59851
乐东,59940
陵水,59954
临高,59842
琼中,59849
琼海,59855
三沙,71444
三亚,59948
屯昌,59854
万宁,59951
文昌,59856
五指山,60651
石家庄,53698
保定,54602
沧州,54616
承德,54423
邯郸,53892
衡水,54702
廊坊,54515
秦皇岛,54449
唐山,54534
邢台,53798
张家口,54401
郑州,57083
安阳,53898
鹤壁,53990
济源,53978
焦作,53982
开封,57091
漯河,57186
洛阳,57073
南阳,57178
濮阳,54900
平顶山,71128
商丘,58005
三门峡,57051
许昌,57089
信阳,57297
新乡,53986
周口,57195
驻马店,57290
哈尔滨,50953
大兴安岭,50442
大庆,50842
黑河,50468
鹤岗,50775
鸡西,50978
佳木斯,50873
牡丹江,54094
七台河,50973
齐齐哈尔,50745
绥化,50853
双鸭山,50884
伊春,50774
武汉,57494
恩施,57447
鄂州,57496
黄石,58407
黄冈,57498
荆门,57377
荆州,57476
潜江,57475
神农架,57362
随州,57381
十堰,57252
天门,57483
孝感,57482
仙桃,57485
襄阳,57278
咸宁,57590
宜昌,57461
长沙,57687
湘西,60011
常德,57662
郴州,57972
衡阳,57872
怀化,57749
娄底,57763
黔阳,70356
邵阳,57766
湘潭,57773
永州,57865
益阳,57674
岳阳,57584
株洲,57780
张家界,57558
长春,54161
白山,54371
白城,50936
吉林,54172
辽源,54260
松原,50949
四平,54157
通化,54363
延边,71532
南京,58238
常州,58343
淮安,58141
连云港,58044
南通,58259
宿迁,58131
苏州,58357
泰州,58246
无锡,58354
徐州,58027
盐城,58151
扬州,58245
镇江,58248
南昌,58606
抚州,58617
赣州,57993
九江,58502
景德镇,58527
吉安,57799
萍乡,57786
上饶,58637
新余,57796
鹰潭,58627
宜春,57793
沈阳,54342
鞍山,54339
本溪,54346
朝阳,54433
大连,54662
丹东,54497
抚顺,54353
阜新,54237
葫芦岛,54453
锦州,54337
辽阳,54347
盘锦,54338
铁岭,54249
营口,54471
呼和浩特,53463
乌兰察布,60150
锡林郭勒,60149
阿拉善盟,60356
包头,53446
赤峰,54218
鄂尔多斯,71109
呼伦贝尔,71108
巴彦淖尔,60002
通辽,54135
乌海,53512
兴安盟,60001
银川,53614
固原,53817
石嘴山,53518
吴忠,53612
中卫,53704
西宁,52866
海西,71113
果洛,71729
海东,71727
海南,71728
海北,71112
黄南,71114
玉树,70552
济南,54823
滨州,54734
德州,54714
东营,54736
菏泽,54906
济宁,54915
聊城,54806
临沂,54938
青岛,54857
日照,54945
泰安,54827
潍坊,54843
威海,54774
烟台,54765
淄博,54830
枣庄,58024
太原,53772
长治,53882
大同,53487
晋中,71115
晋城,53976
临汾,53868
吕梁,71037
朔州,53578
忻州,53674
阳泉,53782
运城,53959
西安,57036
安康,57245
宝鸡,57016
汉中,57127
商洛,71031
铜川,53947
渭南,57045
咸阳,57048
杨凌,71199
延安,53845
榆林,53646
成都,56294
阿坝,56171
巴中,57313
德阳,56198
达州,57328
广安,57415
甘孜,56146
广元,57206
泸州,57602
乐山,56386
凉山,71118
眉山,56391
绵阳,56196
南充,57411
内江,57504
攀枝花,56666
遂宁,57405
宜宾,56492
雅安,56287
自贡,56396
资阳,56298
拉萨,55591
阿里,55437
昌都,56137
林芝,56312
那曲,70774
日喀则,55578
山南,55597
乌鲁木齐,51463
巴音郭楞,51656
克州,51704
阿拉尔,51730
阿勒泰,51076
阿克苏,51628
巴州,71708
博尔塔拉,71710
北屯,71714
博州,51238
昌吉,51368
和田,51828
哈密,52203
可克达拉,71717
克拉玛依,51243
昆玉市,72108
喀什,51709
双河,71716
石河子,51356
图木舒克,71712
铁门关,71715
吐鲁番,51573
塔城,51133
五家渠,71713
伊犁,71709
昆明,56778
迪庆,70908
西双版纳,60839
保山,56748
楚雄,56768
大理,56751
德宏,71126
