日期,最高温,最低温,天气,风力风向,空气质量指数
2021-01-01,8,-5,晴,西南风1级,64
2021-01-02,10,-1,多云,东风2级,88
2021-01-03,8,-2,多云~晴,东北风2级,99
2021-01-04,9,1,雾~多云,北风2级,161
2021-01-05,6,1,阴~多云,北风3级,223
2021-01-06,3,-3,阴~多云,东北风3级,119
2021-01-07,1,-7,阴~晴,东北风4级,65
2021-01-08,3,-7,晴~多云,西北风2级,50
2021-01-09,6,-4,多云,西风1级,65
2021-01-10,7,-4,多云,东北风2级,61
2021-01-11,8,-4,阴~晴,西北风3级,68
2021-01-12,12,-1,晴,西南风3级,80
2021-01-13,16,-1,晴,南风2级,77
2021-01-14,20,2,晴,东南风2级,98
2021-01-15,17,2,晴~多云,东北风微风,122
2021-01-16,10,0,阴~晴,东北风微风,121
2021-01-17,9,-3,阴~晴,西北风3级,75
2021-01-18,14,-1,晴,南风2级,71
2021-01-19,15,1,晴~多云,东南风3级,76
2021-01-20,9,7,小雨,东南风2级,82
2021-01-21,8,6,小雨,北风1级,115
2021-01-22,9,3,雾~多云,北风2级,114
2021-01-23,9,3,雾~多云,东北风2级,145
2021-01-24,10,5,晴~小雨,东风3级,54
2021-01-25,6,1,小雨~多云,北风3级,100
2021-01-26,9,3,雾~阴,西北风2级,171
2021-01-27,7,1,小雨~多云,东北风2级,139
2021-01-28,12,-2,雾~晴,北风3级,109
2021-01-29,14,4,雾~阴,东南风2级,111
2021-01-30,12,5,阴,东南风微风,90
2021-01-31,8,4,小雨,南风1级,99
2021-02-01,13,1,雾~多云,西南风微风,74
2021-02-02,10,4,雾~晴,东风2级,70
2021-02-03,13,4,雾~多云,西南风2级,100
2021-02-04,13,7,雾~小雨,东北风2级,96
2021-02-05,10,1,小雨~多云,西风2级,70
2021-02-06,11,7,阴~晴,南风2级,49
2021-02-07,10,7,小雨,东北风2级,71
2021-02-08,13,3,阴~多云,东北风2级,82
2021-02-09,14,6,阴~多云,东南风2级,59
2021-02-10,12,7,雾~多云,东风2级,73
2021-02-11,19,6,阴~晴,东北风微风,69
2021-02-12,17,6,雾~晴,东南风微风,107
2021-02-13,19,7,雾~晴,东南风2级,77
2021-02-14,20,6,雾~多云,西风2级,75
2021-02-15,17,6,阴~小雨,东北风3级,108
2021-02-16,19,3,阴~晴,西北风2级,73
2021-02-17,18,4,雾~晴,东北风2级,62
2021-02-18,18,4,晴,东南风2级,70
2021-02-19,21,7,晴,西南风3级,61
2021-02-20,23,11,晴,西南风3级,47
2021-02-21,26,10,晴,西南风3级,51
2021-02-22,28,11,晴,东北风2级,84
2021-02-23,20,11,多云~小雨,东风3级,94
2021-02-24,15,7,多云~中雨,东北风3级,56
2021-02-25,6,4,小雨,北风4级,34
2021-02-26,8,5,阴~小雨,东北风3级,27
2021-02-27,11,8,阴~小雨,东北风2级,71
2021-02-28,11,6,中雨~小雨,东南风2级,50
2021-03-01,9,1,小雨~晴,北风4级,17
2021-03-02,13,6,阴~多云,东北风2级,38
2021-03-03,12,6,阴~多云,东南风2级,58
2021-03-04,18,10,雾~小雨,东南风2级,56
2021-03-05,12,8,中雨~小雨,东风2级,44
2021-03-06,11,5,小雨~多云,东北风微风,34
2021-03-07,9,6,阴~多云,东北风3级,68
